iso_code,date,new_cases,new_deaths,new_tests,total_tests,population,median_age,aged_65_older,aged_70_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers
AFG,2019-12-31,0,0,,,38928341,18.6,2.581,1.337,597.029,9.59,,
DZA,2019-12-31,0,0,,,43851043,29.1,6.211,3.857,278.364,6.73,0.7,30.4
ARM,2019-12-31,0,0,,,2963234,35.7,11.232,7.571,341.01,7.11,1.5,52.1
AUS,2019-12-31,0,0,,,25499881,37.9,15.504,10.129,107.791,5.07,13,16.5
AUT,2019-12-31,0,0,,,9006400,44.4,19.202,13.748,145.183,6.35,28.4,30.9
AZE,2019-12-31,0,0,,,10139175,32.4,6.018,3.871,559.812,7.11,0.3,42.5
BHR,2019-12-31,0,0,,,1701583,32.4,2.372,1.387,151.689,16.52,5.8,37.6
BLR,2019-12-31,0,0,,,9449321,40.3,14.799,9.788,443.129,5.18,10.5,46.1
BEL,2019-12-31,0,0,,,11589616,41.8,18.571,12.849,114.898,4.29,25.1,31.4
BRA,2019-12-31,0,0,,,212559409,33.5,8.552,5.06,177.961,8.11,10.1,17.9
KHM,2019-12-31,0,0,,,16718971,25.6,4.412,2.385,270.892,4,2,33.7
CAN,2019-12-31,0,0,,,37742157,41.4,16.984,10.797,105.599,7.37,12,16.6
CHN,2019-12-31,27,0,,,1439323774,38.7,10.641,5.929,261.899,9.74,1.9,48.4
HRV,2019-12-31,0,0,,,4105268,44,19.724,13.053,253.782,5.59,34.3,39.9
CZE,2019-12-31,0,0,,,10708982,43.3,19.027,11.58,227.485,6.82,30.5,38.3
DNK,2019-12-31,0,0,,,5792203,42.3,19.677,12.325,114.767,6.41,19.3,18.8
DOM,2019-12-31,0,0,,,10847904,27.6,6.981,4.419,266.653,8.2,8.5,19.1
ECU,2019-12-31,0,0,,,17643060,28.1,7.104,4.458,140.448,5.55,2,12.3
EGY,2019-12-31,0,0,,,102334403,25.3,5.159,2.891,525.432,17.31,0.2,50.1
EST,2019-12-31,0,0,,,1326539,42.7,19.452,13.491,255.569,4.02,24.5,39.3
FIN,2019-12-31,0,0,,,5540718,42.8,21.228,13.264,153.507,5.76,18.3,22.6
FRA,2019-12-31,0,0,,,65273512,42,19.718,13.079,86.06,4.77,30.1,35.6
GEO,2019-12-31,0,0,,,3989175,38.7,14.864,10.244,496.218,7.11,5.3,55.5
DEU,2019-12-31,0,0,,,83783945,46.6,21.453,15.957,156.139,8.31,28.2,33.1
GRC,2019-12-31,0,0,,,10423056,45.3,20.396,14.524,175.695,4.55,35.3,52
ISL,2019-12-31,0,0,,,341250,37.3,14.431,9.207,117.992,5.31,14.3,15.2
IND,2019-12-31,0,0,,,1380004385,28.2,5.989,3.414,282.28,10.39,1.9,20.6
IDN,2019-12-31,0,0,,,273523621,29.3,5.319,3.053,342.864,6.32,2.8,76.1
IRN,2019-12-31,0,0,,,83992953,32.4,5.44,3.182,270.308,9.59,0.8,21.1
IRQ,2019-12-31,0,0,,,40222503,20,3.186,1.957,218.612,8.83,,
IRL,2019-12-31,0,0,,,4937796,38.7,13.928,8.678,126.459,3.28,23,25.7
ISR,2019-12-31,0,0,,,8655541,30.6,11.733,7.359,93.32,6.74,15.4,35.4
ITA,2019-12-31,0,0,,,60461828,47.9,23.021,16.24,113.151,4.78,19.8,27.8
JPN,2019-12-31,0,0,,,126476458,48.2,27.049,18.493,79.37,5.72,11.2,33.7
KWT,2019-12-31,0,0,,,4270563,33.7,2.345,1.114,132.235,15.84,2.7,37
LBN,2019-12-31,0,0,,,6825442,31.1,8.514,5.43,266.591,12.71,26.9,40.7
LTU,2019-12-31,0,0,,,2722291,43.5,19.002,13.778,342.989,3.67,21.3,38
LUX,2019-12-31,0,0,,,625976,39.7,14.312,9.842,128.275,4.42,20.9,26
MKD,2019-12-31,0,0,,,2083380,39.1,13.26,8.16,322.688,10.08,,
MYS,2019-12-31,0,0,,,32365998,29.9,6.293,3.407,260.942,16.74,1,42.4
MEX,2019-12-31,0,0,,,128932753,29.3,6.857,4.321,152.783,13.06,6.9,21.4
MCO,2019-12-31,0,0,,,39244,,,,,5.46,,
NPL,2019-12-31,0,0,,,29136808,25,5.809,3.212,260.797,7.26,9.5,37.8
NLD,2019-12-31,0,0,,,17134873,43.2,18.779,11.881,109.361,5.29,24.4,27.3
NZL,2019-12-31,0,0,,,4822233,37.9,15.322,9.72,128.797,8.08,14.8,17.2
NGA,2019-12-31,0,0,,,206139587,18.1,2.751,1.447,181.013,2.42,0.6,10.8
NOR,2019-12-31,0,0,,,5421242,39.7,16.821,10.813,114.316,5.31,19.6,20.7
OMN,2019-12-31,0,0,,,5106622,30.7,2.355,1.53,266.342,12.61,0.5,15.6
PAK,2019-12-31,0,0,,,220892331,23.5,4.495,2.78,423.031,8.35,2.8,36.7
PHL,2019-12-31,0,0,,,109581085,25.2,4.803,2.661,370.437,7.07,7.8,40.8
QAT,2019-12-31,0,0,,,2881060,31.9,1.307,0.617,176.69,16.52,0.8,26.9
ROU,2019-12-31,0,0,,,19237682,43,17.85,11.69,370.946,9.74,22.9,37.1
RUS,2019-12-31,0,0,,,145934460,39.6,14.178,9.393,431.297,6.18,23.4,58.3
SMR,2019-12-31,0,0,,,33938,,,,,5.64,,
SGP,2019-12-31,0,0,,,5850343,42.4,12.922,7.049,92.243,10.99,5.2,28.3
KOR,2019-12-31,0,0,,,51269183,43.4,13.914,8.622,85.998,6.8,6.2,40.9
ESP,2019-12-31,0,0,,,46754783,45.5,19.436,13.799,99.403,7.17,27.4,31.4
LKA,2019-12-31,0,0,,,21413250,34.1,10.069,5.331,197.093,10.68,0.3,27
SWE,2019-12-31,0,0,,,10099270,41,19.985,13.433,133.982,4.79,18.8,18.9
CHE,2019-12-31,0,0,,,8654618,43.1,18.436,12.644,99.739,5.59,22.6,28.9
TWN,2019-12-31,0,0,,,23816775,42.2,,8.353,103.957,,,
THA,2019-12-31,0,0,,,69799978,40.1,11.373,6.89,109.861,7.04,1.9,38.8
ARE,2019-12-31,0,0,,,9890400,34,1.144,0.526,317.84,17.26,1.2,37.4
GBR,2019-12-31,0,0,,,67886004,40.8,18.517,12.527,122.137,4.28,20,24.7
USA,2019-12-31,0,0,,,331002647,38.3,15.413,9.732,151.089,10.79,19.1,24.6
VNM,2019-12-31,0,0,,,97338583,32.6,7.15,4.718,245.465,6,1,45.9
OWID_WRL,2019-12-31,27,0,,,7794798729,30.9,8.696,5.355,233.07,8.51,6.434,34.635
